timestamp,open,high,low,close,volume
2026-01-02,39.5,39.85,39.3,39.65,49879809
2026-01-05,39.65,40.1,39.2,39.3,52206468
2026-01-06,39.35,40.45,39.35,40.45,34421019
2026-01-07,40.1,40.3,39.75,40.2,32372328
2026-01-08,40.2,41.25,40.05,41.1,28957145
2026-01-09,41.2,41.2,40.5,40.8,11585634
2026-01-12,40.75,40.75,40.1,40.5,14268880
2026-01-13,40.8,40.8,40.15,40.5,14117977
2026-01-14,40.7,41.15,40.4,41.15,17187261
2026-01-15,41.15,42.2,41.1,41.85,23524466
2026-01-16,41.85,42.0,41.4,41.8,14158414
2026-01-19,42.2,42.75,41.65,42.4,25082154
2026-01-20,42.05,42.2,41.7,41.7,15962511
2026-01-21,41.5,41.65,41.0,41.35,22287747
2026-01-22,41.55,41.75,41.5,41.6,13876316
2026-01-23,42.0,42.0,41.3,41.55,21805459
2026-01-26,41.7,42.45,41.2,42.4,19720277
2026-01-27,42.45,42.6,42.15,42.3,21555265
2026-01-28,42.3,42.7,42.0,42.6,20728602
2026-01-29,42.75,43.35,42.35,42.95,28323327
2026-01-30,42.95,43.15,42.65,43.05,35930292
2026-02-02,43.05,43.1,41.95,42.2,21937092
2026-02-03,42.55,43.1,41.9,42.0,19042815
2026-02-04,42.1,42.8,42.1,42.4,14993280
2026-02-05,42.2,43.05,42.15,42.75,12864075
2026-02-06,42.5,42.9,42.05,42.65,14692996
2026-02-09,43.0,44.45,42.95,43.9,28708666
2026-02-10,43.8,44.7,43.8,44.35,24861904
2026-02-11,44.7,45.2,44.45,44.75,23101986
2026-02-23,46.95,47.95,46.05,46.55,48086281
2026-02-24,46.55,47.8,46.45,47.45,29991666
2026-02-25,47.15,47.9,46.7,47.25,32568465
2026-02-26,47.2,49.7,47.2,49.15,56704903
2026-03-02,48.0,48.6,47.1,47.25,32229412
2026-03-03,47.25,47.8,46.95,47.25,17210951
2026-03-04,46.45,46.9,44.8,45.0,31477363
2026-03-05,45.75,46.25,45.1,45.35,19410906
2026-03-06,44.55,46.2,44.55,45.9,13893749
2026-03-09,43.4,44.45,43.2,44.15,31189485
2026-03-10,45.35,45.35,43.65,43.85,19511512
2026-03-11,43.85,44.7,43.85,44.35,14095062
2026-03-12,43.9,44.45,43.6,44.25,18340576
2026-03-13,43.5,43.9,43.2,43.3,22508509
2026-03-16,44.0,45.05,43.9,44.6,23552024
2026-03-17,44.85,45.1,44.5,44.65,26588424
2026-03-18,44.7,45.0,44.65,44.65,15604937
2026-03-19,44.6,44.65,43.85,44.25,22047522
2026-03-20,44.0,44.7,43.9,44.2,26327443
2026-03-23,43.25,44.35,42.9,44.2,22412604
2026-03-24,44.65,45.35,44.3,45.1,31486266
2026-03-25,46.05,46.15,45.3,45.85,27745386
2026-03-26,45.85,46.75,45.75,46.05,20719208
2026-03-27,45.6,46.05,45.3,45.3,17128086
2026-03-30,44.5,45.1,44.45,44.45,29667510
2026-03-31,44.0,45.05,44.0,44.75,28366775
2026-04-01,46.5,47.2,45.5,47.1,31351846
2026-04-02,47.05,47.1,45.8,45.85,27398473
2026-04-07,45.85,46.6,45.8,46.5,16302866
2026-04-08,46.75,47.15,46.4,47.1,23652987
2026-04-09,46.95,48.0,46.9,47.95,31123592
2026-04-10,48.3,48.35,47.6,47.7,19449191
2026-04-13,47.7,47.95,47.15,47.45,14948328
2026-04-14,48.5,50.1,48.2,49.55,37034003
2026-04-15,50.2,50.9,49.7,50.4,29109764
2026-04-16,50.4,51.2,50.1,50.7,22365740
2026-04-17,50.8,50.8,49.75,50.2,25030620
2026-04-20,50.7,51.6,50.2,51.2,23004014
2026-04-21,51.9,51.9,50.8,51.0,23474745
2026-04-22,50.7,51.0,49.8,50.1,33391360
2026-04-23,49.8,50.8,49.8,50.2,30437858
2026-04-24,50.2,50.6,49.95,49.95,26660909
2026-04-27,50.0,51.5,49.85,50.8,32492680
2026-04-28,50.8,52.6,50.8,52.2,25937217
2026-04-29,52.8,52.8,51.5,52.3,23419708
2026-04-30,51.3,53.0,51.3,52.2,33839966
2026-05-04,52.8,53.2,52.0,53.1,26145303
2026-05-05,52.8,55.7,52.7,55.4,30297770
2026-05-06,56.0,56.9,55.6,56.2,26014840
2026-05-07,57.0,57.4,56.1,56.1,29987672
2026-05-08,56.9,57.1,55.4,56.5,25575028
2026-05-11,56.7,57.4,55.8,56.5,24371870
2026-05-12,57.3,57.3,54.6,54.6,31513720
2026-05-13,55.0,56.2,54.8,55.8,19394155
2026-05-14,56.3,56.8,55.2,55.5,21738698
2026-05-15,55.9,56.7,54.6,54.8,22153594
2026-05-18,54.8,55.0,53.9,54.3,23832176
2026-05-19,54.5,56.3,54.4,54.7,31023460
2026-05-20,55.0,55.5,54.5,55.1,20014542
2026-05-21,55.5,56.1,54.6,54.7,26309170
2026-05-22,54.5,55.5,54.4,55.1,25290382
2026-05-25,55.1,56.1,54.9,56.1,28600355
2026-05-26,56.7,57.4,56.3,57.3,37512706
2026-05-27,59.6,59.8,57.5,59.5,39789508
2026-05-28,59.5,60.2,58.4,59.1,36872545
2026-05-29,59.4,60.2,58.9,59.6,90413232
