timestamp,open,high,low,close,volume
2026-01-02,22.0,22.05,21.9,22.0,137005
2026-01-05,22.1,22.6,21.95,22.35,219005
2026-01-06,22.35,22.6,22.35,22.4,137070
2026-01-07,22.4,22.5,22.15,22.3,82000
2026-01-08,22.2,23.1,22.2,23.05,186070
2026-01-09,23.05,23.6,23.05,23.15,376416
2026-01-12,24.8,25.45,24.25,24.25,822029
2026-01-13,23.7,24.25,23.25,23.4,326001
2026-01-14,23.5,23.9,23.3,23.75,139003
2026-01-15,23.5,24.65,23.5,24.6,210565
2026-01-16,25.0,25.0,24.1,24.45,127200
2026-01-19,24.45,24.7,24.15,24.5,145171
2026-01-20,24.5,24.55,23.9,23.9,163331
2026-01-21,23.9,24.1,23.35,23.45,136027
2026-01-22,24.0,24.15,23.65,24.05,173081
2026-01-23,23.75,24.05,23.6,23.6,69176
2026-01-26,23.6,24.0,23.6,23.95,64411
2026-01-27,24.25,25.05,24.1,24.15,271002
2026-01-28,24.2,24.8,23.9,24.8,214271
2026-01-29,24.85,24.85,23.55,24.05,204073
2026-01-30,23.9,24.1,23.75,24.1,106001
2026-02-02,24.95,24.95,23.6,23.6,149028
2026-02-03,24.0,24.4,23.6,24.1,180006
2026-02-04,24.5,24.9,23.85,24.4,194003
2026-02-05,24.4,24.8,24.0,24.3,71179
2026-02-06,24.05,24.05,23.35,23.35,159803
2026-02-09,25.65,25.65,25.0,25.65,2373003
2026-02-10,24.15,24.95,23.15,24.05,1595152
2026-02-11,24.15,24.65,23.35,24.05,343433
2026-02-23,24.3,25.05,24.3,24.5,308074
2026-02-24,24.7,24.8,24.2,24.35,213107
2026-02-25,24.35,24.6,24.25,24.55,153189
2026-02-26,24.7,25.3,24.7,25.3,281284
2026-03-02,26.0,26.0,25.25,25.55,385252
2026-03-03,25.8,25.8,25.0,25.4,224014
2026-03-04,25.2,25.2,24.2,24.2,204400
2026-03-05,23.5,24.75,23.5,24.5,148101
2026-03-06,24.05,24.8,24.05,24.65,128369
2026-03-09,23.1,23.9,23.1,23.6,150019
2026-03-10,23.4,24.5,23.4,23.9,146232
2026-03-11,23.8,25.9,23.8,25.3,565549
2026-03-12,25.2,25.2,24.55,24.55,187064
2026-03-13,24.1,25.35,24.0,25.05,120431
2026-03-16,25.15,25.3,24.8,24.8,167086
2026-03-17,25.0,25.0,24.55,24.6,187529
2026-03-18,24.8,25.25,24.75,24.8,284078
2026-03-19,24.8,25.5,24.8,25.0,211005
2026-03-20,25.1,25.3,24.95,24.95,111092
2026-03-23,24.9,24.9,24.25,24.25,113031
2026-03-24,24.1,24.45,23.55,23.65,187328
2026-03-25,24.15,24.15,23.65,24.15,165004
2026-03-26,24.0,24.0,23.55,23.55,232011
2026-03-27,23.55,23.65,23.3,23.35,110198
2026-03-30,23.2,23.55,23.15,23.3,98021
2026-03-31,23.95,24.4,22.65,22.65,261033
2026-04-01,22.95,23.6,22.95,23.4,114009
2026-04-02,23.1,23.3,23.1,23.1,49008
2026-04-07,23.1,23.1,22.55,22.55,210113
2026-04-08,22.55,22.9,22.4,22.8,110062
2026-04-09,22.6,22.6,21.7,21.8,275017
2026-04-10,22.15,22.15,21.8,22.0,94619
2026-04-13,22.2,23.2,22.2,22.6,155012
2026-04-14,22.3,22.9,22.25,22.6,170122
2026-04-15,22.6,23.15,22.5,22.8,131002
2026-04-16,23.0,23.25,22.7,22.9,137001
2026-04-17,23.1,23.1,21.95,22.8,116386
2026-04-20,22.6,22.95,22.6,22.7,105102
2026-04-21,22.3,22.6,21.8,22.25,273051
2026-04-22,22.9,22.9,22.05,22.15,182083
2026-04-23,22.15,22.15,21.85,21.85,165041
2026-04-24,21.85,22.35,21.75,21.95,137010
2026-04-27,22.0,22.0,21.6,21.9,107001
2026-04-28,21.9,21.9,21.6,21.9,79428
2026-04-29,21.9,21.95,21.5,21.95,54000
2026-04-30,22.2,22.2,21.45,21.45,86010
2026-05-04,23.4,23.4,22.3,22.55,149004
2026-05-05,22.5,22.9,22.5,22.55,139003
2026-05-06,23.0,23.0,22.1,22.9,84000
2026-05-07,23.35,23.35,22.4,22.6,126002
2026-05-08,22.25,22.7,22.2,22.5,157200
2026-05-11,22.7,23.2,22.55,22.7,183005
2026-05-12,23.2,23.35,22.65,23.35,253001
2026-05-13,23.65,25.0,23.55,24.15,391120
2026-05-14,24.5,24.9,23.65,23.75,221437
2026-05-15,24.25,24.9,24.0,24.35,320003
2026-05-18,24.35,25.8,23.9,24.5,444100
2026-05-19,24.5,25.05,24.5,24.65,185070
2026-05-20,25.0,25.0,24.1,24.2,253416
2026-05-21,24.2,24.5,24.1,24.3,141000
2026-05-22,24.5,24.5,24.05,24.3,88145
2026-05-25,24.35,24.9,24.2,24.5,272027
2026-05-26,24.5,25.1,24.4,24.85,191410
2026-05-27,25.0,25.85,24.7,24.95,289150
2026-05-28,25.0,25.3,24.7,24.75,137171
2026-05-29,25.3,25.35,24.65,24.75,123632
