timestamp,open,high,low,close,volume
2026-01-02,21.5,22.1,21.15,22.1,1601130
2026-01-05,23.2,23.6,22.65,22.8,2575776
2026-01-06,22.85,22.85,21.0,21.6,1159057
2026-01-07,21.0,21.3,20.4,21.1,416455
2026-01-08,20.5,21.5,20.5,21.45,267030
2026-01-09,21.4,21.4,21.0,21.05,140576
2026-01-12,22.4,23.05,22.05,22.9,263915
2026-01-13,22.9,23.05,22.7,22.8,348142
2026-01-14,23.45,23.45,22.6,22.65,202953
2026-01-15,22.65,22.65,22.0,22.65,93548
2026-01-16,23.0,24.5,22.8,23.95,377688
2026-01-19,24.5,26.3,24.5,26.3,631749
2026-01-20,26.25,27.5,25.0,26.05,751021
2026-01-21,25.15,25.95,24.05,24.5,867111
2026-01-22,24.5,24.85,22.75,23.15,775402
2026-01-23,23.35,24.9,23.1,23.15,512850
2026-01-26,23.05,24.1,23.05,24.1,287794
2026-01-27,24.2,25.0,23.2,23.45,183597
2026-01-28,24.0,24.1,23.2,23.25,231855
2026-01-29,23.25,23.3,22.0,22.15,259098
2026-01-30,21.65,22.5,21.65,22.0,126700
2026-02-02,20.85,21.1,20.0,20.35,194098
2026-02-03,20.55,22.35,20.55,22.35,161100
2026-02-04,24.0,24.55,23.85,24.55,629813
2026-02-05,24.4,25.5,23.5,23.8,818310
2026-02-06,23.75,23.75,21.45,22.25,356264
2026-02-09,22.25,24.45,22.25,24.45,811175
2026-02-10,25.0,25.0,23.35,23.65,689384
2026-02-11,21.3,22.0,21.3,21.35,774003
2026-02-23,21.35,21.75,20.6,21.3,288800
2026-02-24,21.5,23.4,21.5,23.4,401943
2026-02-25,24.75,25.7,24.5,25.7,2378639
2026-02-26,25.0,25.7,23.4,25.15,1503868
2026-03-02,24.1,26.7,23.95,26.35,1125784
2026-03-03,25.6,26.6,23.85,23.85,1049731
2026-03-04,23.85,23.85,21.8,22.45,441936
2026-03-05,23.05,24.65,23.05,24.05,564546
2026-03-06,24.35,26.45,24.0,25.2,2274433
2026-03-09,23.85,24.3,22.9,22.9,779566
2026-03-10,23.5,23.75,22.4,22.8,541250
2026-03-11,22.5,24.35,22.5,24.05,259554
2026-03-12,23.35,24.45,23.0,23.1,329368
2026-03-13,23.1,23.45,22.4,22.45,246480
2026-03-16,22.7,22.7,21.65,21.9,471025
2026-03-17,22.25,23.0,22.25,22.8,208434
2026-03-18,22.95,23.4,22.25,22.3,227270
2026-03-19,22.35,22.95,21.3,21.6,371976
2026-03-20,21.7,22.65,21.5,22.05,281032
2026-03-23,21.9,21.95,21.05,21.25,182090
2026-03-24,21.45,22.0,20.8,21.2,170287
2026-03-25,21.95,21.95,21.15,21.3,122000
2026-03-26,21.6,21.9,21.0,21.0,145030
2026-03-27,20.95,21.3,20.55,21.15,113000
2026-03-30,20.9,20.9,20.45,20.55,111168
2026-03-31,20.65,21.35,20.0,20.0,135000
2026-04-01,20.2,21.25,20.2,20.7,98000
2026-04-02,21.0,21.1,20.4,20.4,86000
2026-04-07,21.2,21.2,20.45,20.45,56124
2026-04-08,21.1,21.55,21.0,21.1,114848
2026-04-09,21.05,21.35,20.6,21.15,124553
2026-04-10,21.45,21.5,21.0,21.0,101000
2026-04-13,20.65,20.8,20.5,20.55,119152
2026-04-14,21.35,21.4,20.7,20.8,110071
2026-04-15,21.25,21.45,20.4,20.75,129688
2026-04-16,20.9,21.35,20.6,21.0,146417
2026-04-17,21.0,21.2,20.7,20.7,78864
2026-04-20,20.7,21.05,20.1,20.65,112000
2026-04-21,20.85,22.7,20.75,22.7,729368
2026-04-22,22.5,23.75,21.9,21.9,749250
2026-04-23,22.45,23.15,21.0,21.25,476021
2026-04-24,21.95,22.4,21.35,21.35,202080
2026-04-27,21.65,21.65,20.45,21.35,183771
2026-04-28,21.35,21.5,20.9,21.2,105415
2026-04-29,21.2,21.4,20.8,21.25,67003
2026-04-30,23.0,23.0,20.65,20.65,256050
2026-05-04,20.65,21.2,20.45,20.45,171848
2026-05-05,20.5,21.15,20.2,20.9,121133
2026-05-06,21.15,21.2,20.65,20.85,108000
2026-05-07,20.8,21.7,20.8,21.35,188941
2026-05-08,21.95,22.35,20.8,21.25,251337
2026-05-11,20.9,21.25,20.6,20.8,112488
2026-05-12,21.35,21.35,20.6,21.05,144244
2026-05-13,21.35,21.35,20.6,20.6,93047
2026-05-14,20.8,21.0,20.35,20.35,121244
2026-05-15,20.75,20.75,19.65,19.7,217278
2026-05-18,19.7,19.95,18.65,19.45,86002
2026-05-19,19.85,19.85,19.4,19.4,46000
2026-05-20,19.4,20.4,19.4,19.55,91000
2026-05-21,20.3,21.5,20.1,20.3,242855
2026-05-22,20.65,20.8,20.1,20.5,155826
2026-05-25,20.55,20.7,20.25,20.3,229342
2026-05-26,20.9,21.05,20.1,20.3,191000
2026-05-27,20.6,21.0,19.35,20.1,285632
2026-05-28,20.1,20.6,19.85,20.0,125745
2026-05-29,20.45,20.45,20.0,20.25,127803
