timestamp,open,high,low,close,volume
2026-01-02,18.8,19.1,18.7,18.7,129787
2026-01-05,18.9,19.0,18.4,18.45,208597
2026-01-06,18.5,18.7,18.4,18.5,200846
2026-01-07,18.5,20.35,18.5,20.35,625049
2026-01-08,20.35,22.35,19.65,22.35,2850231
2026-01-09,22.35,23.25,21.7,22.6,1805946
2026-01-12,24.5,24.85,23.0,24.6,3211498
2026-01-13,25.45,25.45,24.0,24.15,2231195
2026-01-14,24.3,24.3,22.7,22.7,1845753
2026-01-15,22.8,23.5,21.9,23.25,1191160
2026-01-16,23.25,23.25,22.15,22.45,985401
2026-01-19,22.5,22.55,22.0,22.1,872700
2026-01-20,22.1,22.75,21.6,21.6,765019
2026-01-21,21.4,21.7,20.9,21.1,606462
2026-01-22,21.15,21.7,21.1,21.25,427455
2026-01-23,21.65,22.75,21.65,21.8,595663
2026-01-26,21.85,21.85,21.0,21.15,473392
2026-01-27,21.25,21.25,20.1,20.2,776684
2026-01-28,20.55,21.25,20.0,21.25,599673
2026-01-29,21.0,21.0,20.2,20.35,410297
2026-01-30,20.5,20.55,19.7,20.0,346828
2026-02-02,19.9,20.0,19.05,19.45,339443
2026-02-03,20.5,20.5,19.7,19.85,289171
2026-02-04,19.85,20.4,19.85,20.35,174652
2026-02-05,20.1,20.15,19.85,20.0,268717
2026-02-06,20.0,20.0,19.35,19.95,222600
2026-02-09,20.1,20.3,19.9,19.9,260372
2026-02-10,19.15,19.8,19.15,19.25,580829
2026-02-11,18.85,19.2,18.75,18.85,564145
2026-02-23,18.85,19.25,18.55,18.8,371290
2026-02-24,18.85,19.3,18.75,18.8,429217
2026-02-25,19.4,19.4,18.65,18.9,257326
2026-02-26,18.9,19.4,18.85,19.0,465436
2026-03-02,19.0,19.1,18.0,19.0,440230
2026-03-03,18.8,19.3,18.3,18.4,510992
2026-03-04,18.0,18.0,17.0,17.45,641169
2026-03-05,17.5,18.1,17.5,17.55,378544
2026-03-06,17.6,18.35,17.3,18.0,285155
2026-03-09,18.0,18.0,16.75,17.1,404474
2026-03-10,17.9,17.9,17.4,17.55,231476
2026-03-11,17.65,18.55,17.65,18.4,313325
2026-03-12,18.0,18.35,17.2,17.65,571904
2026-03-13,17.4,17.5,17.05,17.35,336252
2026-03-16,17.4,17.45,16.95,17.2,383980
2026-03-17,17.15,17.7,17.15,17.4,338248
2026-03-18,17.3,18.2,17.25,18.1,487628
2026-03-19,18.1,19.9,17.75,19.9,1027516
2026-03-20,21.8,21.85,21.05,21.2,3231921
2026-03-23,19.6,19.85,19.1,19.15,1090732
2026-03-24,20.0,20.0,18.15,18.8,515774
2026-03-25,19.1,19.1,18.4,18.65,318800
2026-03-26,18.8,18.9,17.85,18.0,532706
2026-03-27,17.85,18.6,17.6,18.55,295704
2026-03-30,18.05,18.3,17.75,18.0,225304
2026-03-31,18.1,18.1,17.5,17.65,208161
2026-04-01,18.25,18.55,17.85,18.0,256631
2026-04-02,18.0,18.15,17.65,17.75,262010
2026-04-07,17.75,18.0,17.4,17.65,301726
2026-04-08,18.0,18.2,17.7,18.1,219048
2026-04-09,18.2,18.2,17.65,17.8,215721
2026-04-10,18.0,18.25,17.6,17.7,268295
2026-04-13,18.1,19.45,18.1,19.1,1006181
2026-04-14,19.1,19.15,18.45,18.6,633842
2026-04-15,18.6,19.75,18.45,19.05,608694
2026-04-16,19.2,19.7,18.8,19.45,502763
2026-04-17,19.4,20.6,19.15,20.0,1047669
2026-04-20,20.75,20.75,19.8,19.85,740217
2026-04-21,20.0,20.7,19.7,20.5,995991
2026-04-22,21.1,22.55,20.55,22.5,2563955
2026-04-23,24.6,24.6,20.5,23.25,3275316
2026-04-24,23.25,23.25,21.5,21.55,1382519
2026-04-27,21.6,21.6,20.05,20.6,1098708
2026-04-28,21.1,21.4,20.7,20.85,390713
2026-04-29,20.85,21.0,20.5,20.6,335463
2026-04-30,21.05,21.05,20.4,20.6,331736
2026-05-04,20.65,21.0,20.25,20.3,564758
2026-05-05,20.5,21.0,20.3,20.85,444207
2026-05-06,21.9,21.9,20.5,20.6,554459
2026-05-07,20.6,20.6,20.35,20.5,292274
2026-05-08,20.9,20.9,20.45,20.55,363558
2026-05-11,21.0,21.15,20.55,20.85,428433
2026-05-12,21.35,21.35,20.6,21.35,603975
2026-05-13,21.4,21.4,20.35,20.5,664597
2026-05-14,20.5,20.55,19.5,19.6,598816
2026-05-15,19.55,19.95,18.55,18.65,540043
2026-05-18,18.65,18.9,18.25,18.6,240857
2026-05-19,19.3,19.3,18.1,18.1,279250
2026-05-20,18.4,18.4,18.0,18.35,239760
2026-05-21,18.5,18.8,18.3,18.45,238226
2026-05-22,19.0,19.4,18.5,19.4,589344
2026-05-25,20.1,20.5,19.2,20.25,879038
2026-05-26,20.35,20.35,19.5,19.8,542224
2026-05-27,19.9,20.0,19.2,19.3,431258
2026-05-28,19.8,19.9,18.95,19.05,537493
2026-05-29,19.1,19.3,18.95,19.05,316370
