timestamp,open,high,low,close,volume
2026-01-02,47.95,48.5,47.0,47.2,18191
2026-01-05,46.05,47.45,45.7,47.3,67689
2026-01-06,47.25,47.3,46.35,47.3,59746
2026-01-07,47.3,48.15,46.7,48.15,60694
2026-01-08,47.8,47.8,46.8,47.05,43020
2026-01-09,46.8,46.8,46.1,46.5,13764
2026-01-12,45.4,45.6,45.0,45.1,81558
2026-01-13,45.1,45.7,44.6,44.75,42558
2026-01-14,44.6,45.6,44.5,44.7,47252
2026-01-15,44.65,45.15,44.65,45.0,42834
2026-01-16,45.0,45.2,44.0,44.75,55806
2026-01-19,45.05,45.05,44.25,44.4,50168
2026-01-20,44.2,44.5,44.05,44.3,53662
2026-01-21,44.2,44.2,44.05,44.15,20502
2026-01-22,44.15,44.3,43.9,44.1,68591
2026-01-23,44.0,44.1,43.9,44.05,40240
2026-01-26,44.05,44.1,44.05,44.1,7025
2026-01-27,43.35,46.5,43.35,44.55,99730
2026-01-28,44.2,44.75,44.05,44.35,62309
2026-01-29,44.15,44.65,44.05,44.65,64636
2026-01-30,44.65,44.65,44.1,44.6,20159
2026-02-02,44.3,44.6,43.8,44.5,44165
2026-02-03,44.6,44.6,43.9,44.55,30797
2026-02-04,44.5,44.55,44.15,44.2,8572
2026-02-05,44.75,44.75,44.15,44.3,19287
2026-02-06,44.25,44.35,44.15,44.3,37704
2026-02-09,44.2,44.2,44.15,44.2,18614
2026-02-10,45.3,45.3,44.05,44.2,14551
2026-02-11,44.95,44.95,43.7,44.45,30848
2026-02-23,44.45,44.45,43.95,44.0,47445
2026-02-24,43.8,43.9,43.5,43.8,29064
2026-02-25,43.7,43.7,43.5,43.55,24384
2026-02-26,43.4,43.4,43.25,43.3,62080
2026-03-02,43.3,43.3,42.6,42.65,59751
2026-03-03,41.95,42.0,41.5,41.8,53958
2026-03-04,41.9,41.9,40.5,40.5,70584
2026-03-05,40.7,41.8,40.5,41.4,28104
2026-03-06,40.55,41.5,40.55,41.5,23617
2026-03-09,41.1,41.2,40.05,40.7,28463
2026-03-10,40.7,41.5,40.7,41.1,36383
2026-03-11,41.15,41.85,41.15,41.85,28419
2026-03-12,41.75,42.0,41.6,42.0,14359
2026-03-13,41.6,41.6,41.15,41.4,5829
2026-03-16,41.15,41.15,40.85,40.85,34518
2026-03-17,41.25,41.55,40.7,40.85,35443
2026-03-18,41.0,41.0,40.85,40.9,12475
2026-03-19,40.85,40.95,40.5,40.6,25357
2026-03-20,40.15,40.8,40.15,40.45,42523
2026-03-23,40.45,41.9,40.45,40.65,29284
2026-03-24,40.65,40.7,40.2,40.3,12837
2026-03-25,40.35,40.6,40.35,40.35,25107
2026-03-26,40.5,40.5,40.5,40.5,3912
2026-03-27,40.4,40.45,40.3,40.45,12148
2026-03-30,40.4,40.75,40.4,40.75,36969
2026-03-31,40.75,40.75,40.4,40.4,21498
2026-04-01,40.55,40.7,40.55,40.6,15985
2026-04-02,40.55,41.0,40.5,40.5,23129
2026-04-07,40.5,40.5,40.1,40.35,16463
2026-04-08,40.35,40.6,40.3,40.3,29415
2026-04-09,40.3,41.0,40.3,41.0,27030
2026-04-10,41.2,41.8,41.2,41.6,23251
2026-04-13,41.6,41.95,41.6,41.65,25834
2026-04-14,41.9,42.05,41.5,41.65,63088
2026-04-15,41.9,42.0,41.65,41.9,86129
2026-04-16,38.9,39.65,38.7,39.65,59591
2026-04-17,39.55,39.55,39.2,39.3,15777
2026-04-20,39.5,39.5,38.95,39.1,46921
2026-04-21,39.0,39.0,38.4,38.45,45693
2026-04-22,38.15,38.15,37.7,37.7,83330
2026-04-23,37.5,37.5,36.55,36.65,109972
2026-04-24,36.65,36.65,36.1,36.1,56979
2026-04-27,36.3,36.3,35.15,35.15,59557
2026-04-28,35.15,35.25,34.9,34.9,62968
2026-04-29,34.9,34.9,34.0,34.4,72393
2026-04-30,34.05,34.6,33.8,33.85,63843
2026-05-04,33.85,33.85,33.0,33.05,87126
2026-05-05,35.45,35.45,33.15,33.2,47606
2026-05-06,33.25,33.25,32.3,32.7,66389
2026-05-07,32.55,32.55,31.05,31.5,136244
2026-05-08,31.5,31.7,31.05,31.7,54093
2026-05-11,34.0,34.0,31.8,31.95,63731
2026-05-12,31.95,31.95,30.0,30.4,174260
2026-05-13,30.0,30.0,28.9,29.2,176978
2026-05-14,29.0,29.0,27.8,27.8,169755
2026-05-15,28.55,28.55,27.5,27.5,49063
2026-05-18,27.5,27.8,27.2,27.3,61087
2026-05-19,27.75,27.75,26.9,27.0,94830
2026-05-20,27.35,27.4,27.0,27.1,54102
2026-05-21,27.1,27.25,27.0,27.2,29041
2026-05-22,27.2,28.35,27.2,28.3,77032
2026-05-25,28.3,28.9,27.4,28.3,67224
2026-05-26,28.0,28.4,27.8,28.4,16447
2026-05-27,28.2,28.2,27.95,27.95,15572
2026-05-28,27.7,27.7,27.0,27.5,41038
2026-05-29,27.4,27.5,27.1,27.5,25544
