timestamp,open,high,low,close,volume
2026-01-02,66.1,69.0,66.1,67.7,861092
2026-01-05,69.5,71.0,66.6,66.8,766044
2026-01-06,67.8,67.8,66.2,66.7,228584
2026-01-07,67.1,67.6,66.8,67.0,183843
2026-01-08,67.6,67.6,65.5,65.5,213679
2026-01-09,66.0,66.6,64.2,66.2,247055
2026-01-12,67.0,67.5,65.9,65.9,200839
2026-01-13,65.6,66.2,63.2,63.3,620589
2026-01-14,63.6,65.1,63.6,64.8,345300
2026-01-15,65.1,65.2,64.0,65.0,200413
2026-01-16,65.7,66.1,65.0,65.4,213721
2026-01-19,67.4,68.2,66.8,66.9,698464
2026-01-20,67.8,68.2,66.1,66.2,291289
2026-01-21,66.6,66.6,64.0,64.0,460575
2026-01-22,64.7,65.1,64.1,64.1,247093
2026-01-23,64.2,65.2,63.9,64.3,270633
2026-01-26,64.8,65.5,64.4,64.6,242080
2026-01-27,65.4,65.4,63.5,63.5,404976
2026-01-28,64.0,64.1,63.1,63.3,204895
2026-01-29,63.0,63.4,62.1,62.2,281567
2026-01-30,61.9,61.9,59.7,60.3,535793
2026-02-02,60.3,60.3,59.0,59.8,314604
2026-02-03,59.6,61.1,59.6,60.7,223246
2026-02-04,60.5,62.0,60.1,61.7,145597
2026-02-05,61.9,62.5,61.1,61.3,170147
2026-02-06,61.0,61.0,57.9,59.6,314266
2026-02-09,60.6,60.6,58.6,58.7,230125
2026-02-10,58.8,59.0,57.8,58.0,302281
2026-02-11,57.5,58.0,57.4,57.6,286959
2026-02-23,58.3,61.0,57.5,60.5,243807
2026-02-24,60.5,60.7,59.5,59.6,243883
2026-02-25,60.0,61.1,60.0,60.4,219899
2026-02-26,61.0,61.8,59.7,59.8,286445
2026-03-02,59.0,60.0,58.3,59.2,209981
2026-03-03,59.3,60.2,57.6,57.8,353279
2026-03-04,57.6,57.6,52.9,53.1,732373
2026-03-05,55.5,56.1,54.5,56.0,214911
2026-03-06,54.5,57.4,54.5,55.6,103448
2026-03-09,56.1,56.1,51.8,52.7,277060
2026-03-10,53.2,54.6,53.2,54.6,146728
2026-03-11,55.9,59.4,55.9,58.8,426657
2026-03-12,58.5,59.8,57.8,58.3,217413
2026-03-13,58.5,59.0,57.6,57.6,194335
2026-03-16,57.6,60.5,57.6,59.5,360986
2026-03-17,60.4,61.5,59.5,59.5,335464
2026-03-18,60.7,63.4,60.3,62.5,688247
2026-03-19,62.9,63.4,61.2,61.2,618372
2026-03-20,62.0,62.9,60.5,60.6,335219
2026-03-23,59.0,59.3,57.3,57.6,317929
2026-03-24,58.9,59.7,56.5,57.5,255378
2026-03-25,57.5,59.4,57.4,58.4,293720
2026-03-26,58.4,58.5,56.3,56.4,201461
2026-03-27,56.4,57.2,55.6,57.1,112856
2026-03-30,56.2,57.6,55.5,57.2,165429
2026-03-31,57.1,57.1,55.0,55.0,204567
2026-04-01,56.8,57.3,55.2,55.5,112135
2026-04-02,56.0,56.4,54.8,55.0,98736
2026-04-07,56.0,56.0,54.9,55.1,95585
2026-04-08,56.8,57.6,56.0,57.2,232952
2026-04-09,57.5,57.5,56.1,56.3,160685
2026-04-10,57.3,57.3,55.4,56.1,118893
2026-04-13,55.2,55.2,53.7,54.0,311919
2026-04-14,54.9,54.9,53.1,53.8,283391
2026-04-15,54.2,55.5,53.6,53.7,327521
2026-04-16,53.9,54.4,53.6,53.6,151234
2026-04-17,54.2,54.3,53.3,53.4,230266
2026-04-20,54.1,55.6,53.6,54.4,244327
2026-04-21,55.0,56.9,55.0,55.5,476593
2026-04-22,56.4,61.0,55.5,61.0,850703
2026-04-23,62.5,66.6,57.2,59.1,2747634
2026-04-24,61.5,61.5,57.0,57.8,748098
2026-04-27,58.5,58.5,55.9,56.3,327178
2026-04-28,56.6,56.8,55.1,55.4,216862
2026-04-29,55.9,55.9,54.3,54.8,225971
2026-04-30,55.4,57.9,55.0,55.1,359420
2026-05-04,55.7,58.8,55.1,57.2,468511
2026-05-05,58.3,61.5,58.0,60.0,900728
2026-05-06,66.0,66.0,65.8,66.0,950579
2026-05-07,72.6,72.6,72.6,72.6,763174
2026-05-08,77.4,78.0,70.8,70.9,5169866
2026-05-11,64.7,69.1,64.6,66.8,1833014
2026-05-12,66.2,68.5,65.7,66.5,1177371
2026-05-13,65.0,73.1,64.5,73.1,2291337
2026-05-14,71.9,74.7,69.3,69.3,3145283
2026-05-15,69.5,72.0,67.7,68.4,1411439
2026-05-18,67.4,67.6,65.3,66.9,764446
2026-05-19,66.9,68.9,66.5,67.5,663172
2026-05-20,67.5,69.0,65.5,66.0,954630
2026-05-21,66.6,69.3,66.6,67.9,736733
2026-05-22,68.3,70.6,68.3,70.1,751762
2026-05-25,70.1,70.9,68.4,68.8,914008
2026-05-26,69.7,70.4,67.6,70.0,757177
2026-05-27,70.1,70.9,66.8,66.8,1267478
2026-05-28,67.0,69.1,67.0,68.0,713341
2026-05-29,68.7,69.3,67.4,68.5,702239
