timestamp,open,high,low,close,volume
2026-01-02,13.0,13.0,12.85,12.9,7308
2026-01-05,12.7,13.0,12.3,12.5,123796
2026-01-06,12.5,12.55,11.8,12.1,182006
2026-01-07,12.0,12.2,12.0,12.1,32119
2026-01-08,12.0,12.0,11.8,12.0,51153
2026-01-09,12.05,12.05,11.7,11.8,51387
2026-01-12,11.85,12.1,11.6,12.1,79500
2026-01-13,12.05,12.05,11.8,11.8,31373
2026-01-14,11.85,11.95,11.65,11.8,99004
2026-01-15,12.0,12.4,11.9,11.9,78206
2026-01-16,11.95,12.25,11.9,12.2,35070
2026-01-19,12.35,12.45,12.1,12.2,59199
2026-01-20,12.2,12.6,12.15,12.15,29072
2026-01-21,11.9,12.9,11.9,12.9,38094
2026-01-22,12.8,12.8,12.4,12.45,14141
2026-01-23,12.8,12.9,12.4,12.4,38577
2026-01-26,12.4,12.7,12.3,12.3,3504
2026-01-27,12.35,12.35,12.15,12.15,6048
2026-01-28,12.05,12.15,12.0,12.0,54060
2026-01-29,12.0,12.35,11.8,12.25,30093
2026-01-30,11.85,12.2,11.85,11.9,6069
2026-02-02,11.9,11.9,11.75,11.9,10019
2026-02-03,12.05,12.1,11.8,11.8,8110
2026-02-04,11.8,12.0,11.7,12.0,34428
2026-02-05,11.75,11.95,11.75,11.8,4010
2026-02-06,11.7,11.75,11.65,11.65,10230
2026-02-09,11.7,11.7,11.55,11.55,30364
2026-02-10,11.6,12.1,11.6,12.1,9909
2026-02-11,11.6,11.85,11.6,11.85,25020
2026-02-23,11.95,12.6,11.7,12.6,16113
2026-02-24,12.6,12.75,11.5,11.7,232242
2026-02-25,11.55,12.5,11.55,12.5,148273
2026-02-26,12.5,13.0,11.95,12.7,275353
2026-03-02,12.65,12.65,11.9,12.2,100450
2026-03-03,12.2,12.2,11.45,11.45,88296
2026-03-04,11.45,12.15,11.0,12.15,101029
2026-03-05,11.8,12.25,11.45,12.05,49941
2026-03-06,11.55,11.9,11.55,11.85,24270
2026-03-09,11.35,11.8,11.35,11.75,70272
2026-03-10,11.95,11.95,11.25,11.75,56873
2026-03-11,11.8,11.85,11.45,11.75,89304
2026-03-12,11.55,11.6,11.2,11.6,94488
2026-03-13,11.55,11.75,11.3,11.65,54250
2026-03-16,11.55,11.75,11.55,11.55,22052
2026-03-17,11.35,11.8,11.3,11.7,28950
2026-03-18,11.35,11.65,11.35,11.4,50185
2026-03-19,11.6,11.65,11.6,11.6,5318
2026-03-20,11.4,11.55,11.4,11.45,29128
2026-03-23,11.75,11.75,10.9,11.45,196172
2026-03-24,11.45,11.45,10.85,11.2,50227
2026-03-25,11.35,11.4,11.2,11.2,13114
2026-03-26,11.2,11.4,11.05,11.1,48620
2026-03-27,11.1,11.1,10.9,10.9,63187
2026-03-30,10.9,10.9,10.6,10.75,17366
2026-03-31,10.65,10.7,10.6,10.65,61107
2026-04-01,10.7,10.75,10.7,10.75,23345
2026-04-02,10.75,10.75,10.65,10.7,6143
2026-04-07,10.6,11.0,10.35,10.9,20567
2026-04-08,10.95,11.0,10.65,10.65,22691
2026-04-09,10.55,10.8,10.5,10.8,14522
2026-04-10,11.25,11.3,10.9,10.95,56030
2026-04-13,11.6,11.6,11.4,11.55,26103
2026-04-14,11.1,11.55,11.1,11.4,8105
2026-04-15,11.4,11.4,11.0,11.35,27532
2026-04-16,11.25,11.6,11.2,11.3,21087
2026-04-17,11.0,11.55,11.0,11.5,24196
2026-04-20,11.5,11.9,11.5,11.55,51017
2026-04-21,11.7,12.5,11.65,11.7,71393
2026-04-22,12.0,12.0,11.85,11.95,38091
2026-04-23,11.95,12.0,11.5,11.85,41107
2026-04-24,11.2,11.7,11.2,11.7,5018
2026-04-27,11.2,11.2,10.65,11.2,13523
2026-04-28,10.7,11.2,10.7,11.2,2195
2026-04-29,11.65,11.65,10.75,10.9,8031
2026-04-30,10.8,11.95,10.7,11.95,107039
2026-05-04,12.15,13.1,12.15,13.1,271973
2026-05-05,14.4,14.4,12.4,13.2,869132
2026-05-06,11.9,13.15,11.9,11.9,520150
2026-05-07,11.8,12.2,11.8,12.0,152043
2026-05-08,11.8,11.95,11.5,11.5,29311
2026-05-11,11.25,11.8,10.95,11.6,91015
2026-05-12,11.05,11.45,11.05,11.2,19472
2026-05-13,11.1,11.45,11.1,11.3,33568
2026-05-14,11.15,11.6,10.8,10.95,26611
2026-05-15,11.05,11.25,11.0,11.0,8015
2026-05-18,10.55,11.35,10.55,11.0,15035
2026-05-19,11.0,11.1,10.4,11.1,68098
2026-05-20,11.1,11.1,10.8,11.1,12087
2026-05-21,11.0,11.35,10.8,11.35,60064
2026-05-22,11.35,11.65,11.0,11.4,77636
2026-05-25,12.15,12.15,10.9,10.9,80430
2026-05-26,10.9,11.6,10.35,11.0,59014
2026-05-27,11.0,11.25,11.0,11.25,19112
2026-05-28,10.65,11.5,10.6,10.6,99081
2026-05-29,10.7,11.0,10.65,11.0,56751
