timestamp,open,high,low,close,volume
2026-01-02,26.25,26.8,26.2,26.3,1658865
2026-01-05,26.7,26.7,25.7,26.15,3015535
2026-01-06,26.35,27.3,26.3,26.6,3037809
2026-01-07,26.6,28.15,26.45,27.45,4605633
2026-01-08,28.45,30.15,27.6,28.05,13520660
2026-01-09,29.25,29.65,27.85,28.0,10320426
2026-01-12,27.75,28.55,27.45,27.75,4468876
2026-01-13,27.8,28.0,26.85,27.25,3186738
2026-01-14,27.45,28.5,27.4,28.35,5205051
2026-01-15,28.45,28.45,27.4,27.8,2969882
2026-01-16,28.2,28.35,27.55,27.85,2592491
2026-01-19,28.0,28.9,27.7,28.65,4802547
2026-01-20,28.7,29.35,28.25,29.05,6534904
2026-01-21,29.1,30.8,28.85,28.85,13604369
2026-01-22,29.2,29.5,27.65,27.75,5940451
2026-01-23,27.85,28.0,27.2,27.4,3277519
2026-01-26,27.4,28.5,27.25,28.3,2839277
2026-01-27,28.25,28.6,27.4,27.5,2308613
2026-01-28,27.7,28.1,27.25,27.35,2057013
2026-01-29,27.5,27.5,25.75,25.8,5073658
2026-01-30,25.8,25.95,25.0,25.6,2956718
2026-02-02,25.3,25.4,24.35,24.65,2315391
2026-02-03,25.1,25.55,24.8,25.35,1837030
2026-02-04,25.3,25.7,25.1,25.6,1495844
2026-02-05,25.3,25.9,25.1,25.55,1296226
2026-02-06,25.0,25.1,24.4,24.65,1747204
2026-02-09,25.1,25.45,24.6,24.6,1335661
2026-02-10,24.7,25.0,24.45,24.5,1320520
2026-02-11,24.75,24.75,24.2,24.65,1310729
2026-02-23,24.9,26.35,24.9,26.25,3402366
2026-02-24,26.5,27.6,26.3,27.5,3884604
2026-02-25,27.8,27.8,26.35,26.8,2969123
2026-02-26,26.9,28.1,26.7,27.55,3838621
2026-03-02,26.55,27.25,26.3,26.9,2376240
2026-03-03,27.2,27.85,26.2,26.2,2645507
2026-03-04,25.75,25.75,24.25,24.25,3590185
2026-03-05,24.95,25.8,24.85,25.5,2851632
2026-03-06,25.35,26.15,25.15,25.95,2088118
2026-03-09,24.25,24.6,24.0,24.55,2230510
2026-03-10,25.1,25.4,24.3,24.65,1798457
2026-03-11,24.8,25.7,24.8,25.65,1912166
2026-03-12,25.5,26.65,25.5,26.5,2838284
2026-03-13,25.9,27.5,25.7,27.15,3382480
2026-03-16,28.0,29.1,27.7,28.6,10462284
2026-03-17,28.7,29.8,28.6,29.4,8886220
2026-03-18,29.95,29.95,28.05,28.8,7930890
2026-03-19,28.5,29.8,28.4,28.55,5687395
2026-03-20,29.2,29.7,28.5,28.85,3725565
2026-03-23,28.3,29.3,27.7,28.4,3220639
2026-03-24,29.0,29.4,27.8,28.1,3019209
2026-03-25,28.9,29.25,28.25,28.3,2747297
2026-03-26,28.8,29.25,27.8,27.8,3278587
2026-03-27,27.3,27.4,26.35,26.8,2907139
2026-03-30,26.0,26.05,25.2,25.35,3411532
2026-03-31,25.1,25.45,24.2,24.2,3132300
2026-04-01,25.0,25.35,24.8,25.3,1686498
2026-04-02,25.55,25.8,25.0,25.7,1885243
2026-04-07,26.05,27.65,26.05,27.55,4299731
2026-04-08,28.1,29.4,28.1,29.1,7561246
2026-04-09,28.75,30.25,28.15,29.8,13249961
2026-04-10,29.5,29.65,28.15,28.25,5554823
2026-04-13,28.35,28.9,27.65,28.7,3676579
2026-04-14,29.35,30.55,29.2,29.25,10463063
2026-04-15,29.7,30.15,29.25,29.35,4287779
2026-04-16,29.65,32.25,28.95,32.25,11104436
2026-04-17,34.1,34.25,30.8,32.3,32234565
2026-04-20,32.8,35.5,32.8,35.5,16631806
2026-04-21,39.05,39.05,39.05,39.05,4175606
2026-04-22,42.45,42.95,41.8,42.95,26173938
2026-04-23,45.8,45.9,38.7,39.15,53730325
2026-04-24,39.65,40.0,35.55,36.85,21733503
2026-04-27,36.85,37.7,34.5,35.25,12863990
2026-04-28,35.95,36.45,34.3,35.35,8165105
2026-04-29,35.35,38.85,34.9,38.85,12456998
2026-04-30,39.35,39.9,37.8,38.05,25012964
2026-05-04,38.0,41.25,37.2,40.05,21869744
2026-05-05,40.0,42.4,39.6,41.7,32770801
2026-05-06,43.3,43.35,39.35,40.9,25790981
2026-05-07,40.9,41.95,40.25,40.8,17489665
2026-05-08,40.8,40.8,37.2,37.3,15321997
2026-05-11,36.8,38.7,36.8,37.35,8680220
2026-05-12,37.8,38.7,37.1,38.05,6562626
2026-05-13,37.4,37.8,35.85,36.0,7187973
2026-05-14,36.3,37.2,35.15,36.35,6349121
2026-05-15,36.65,36.75,34.55,34.8,6985368
2026-05-18,34.7,35.15,32.9,34.9,4717012
2026-05-19,34.55,35.3,33.65,33.95,3885900
2026-05-20,34.3,34.7,33.6,34.45,4392616
2026-05-21,34.7,35.8,34.7,35.15,4039463
2026-05-22,35.85,38.65,35.6,38.65,10795140
2026-05-25,39.0,41.2,38.25,39.7,20029828
2026-05-26,39.9,40.35,38.8,39.0,8016723
2026-05-27,39.5,40.5,38.0,40.1,14391091
2026-05-28,39.4,40.8,38.0,38.1,11871265
2026-05-29,39.0,39.4,38.05,38.15,5127300
