date,symbol,holder_level,holders,shares,ratio,source
2026-05-29,0056,9,24811,1746012080,12.8,TDCC
2026-05-29,0057,1,478,51598,3.37,TDCC
2026-05-29,0057,10,6,821489,53.79,TDCC
2026-05-29,0057,11,0,0,0.0,TDCC
2026-05-29,0057,12,0,0,0.0,TDCC
2026-05-29,0057,13,0,0,0.0,TDCC
2026-05-29,0057,14,0,0,0.0,TDCC
2026-05-29,0057,15,0,0,0.0,TDCC
2026-05-29,0057,16,0,0,0.0,TDCC
2026-05-29,0057,17,626,1527000,100.0,TDCC
2026-05-29,0057,2,118,224114,14.67,TDCC
2026-05-29,0057,3,11,90616,5.93,TDCC
2026-05-29,0057,4,7,87100,5.7,TDCC
2026-05-29,0057,5,0,0,0.0,TDCC
2026-05-29,0057,6,2,49000,3.2,TDCC
2026-05-29,0057,7,1,32000,2.09,TDCC
2026-05-29,0057,8,1,41000,2.68,TDCC
2026-05-29,0057,9,2,130083,8.51,TDCC
2026-05-29,0061,1,708,181349,0.17,TDCC
2026-05-29,0061,10,63,8373000,8.11,TDCC
2026-05-29,0061,11,39,10993893,10.66,TDCC
2026-05-29,0061,12,8,4062000,3.93,TDCC
2026-05-29,0061,13,9,6088000,5.9,TDCC
2026-05-29,0061,14,0,0,0.0,TDCC
2026-05-29,0061,15,6,23257552,22.55,TDCC
2026-05-29,0061,16,0,0,0.0,TDCC
2026-05-29,0061,17,6461,103116000,100.0,TDCC
2026-05-29,0061,2,3592,8513508,8.25,TDCC
2026-05-29,0061,3,896,7437313,7.21,TDCC
2026-05-29,0061,4,310,4091117,3.96,TDCC
2026-05-29,0061,5,238,4491296,4.35,TDCC
2026-05-29,0061,6,246,6376790,6.18,TDCC
2026-05-29,0061,7,123,4508899,4.37,TDCC
2026-05-29,0061,8,77,3629865,3.52,TDCC
2026-05-29,0061,9,146,11111418,10.77,TDCC
2026-05-29,1101,1,147792,20596786,0.27,TDCC
2026-05-29,1101,10,2752,378593893,5.03,TDCC
2026-05-29,1101,11,1061,294102713,3.9,TDCC
2026-05-29,1101,12,283,136718366,1.81,TDCC
2026-05-29,1101,13,141,97959459,1.3,TDCC
2026-05-29,1101,14,92,82835728,1.1,TDCC
2026-05-29,1101,15,417,3803899620,50.56,TDCC
2026-05-29,1101,16,0,0,0.0,TDCC
2026-05-29,1101,17,523992,7523181742,100.0,TDCC
2026-05-29,1101,2,243183,535147627,7.11,TDCC
2026-05-29,1101,3,60891,453757264,6.03,TDCC
2026-05-29,1101,4,24543,303582037,4.03,TDCC
2026-05-29,1101,5,13511,243115216,3.23,TDCC
2026-05-29,1101,6,13031,324126709,4.3,TDCC
2026-05-29,1101,7,5836,205049333,2.72,TDCC
2026-05-29,1101,8,3821,175458203,2.33,TDCC
2026-05-29,1101,9,6638,468238788,6.22,TDCC
2026-05-29,1102,1,27074,6146235,0.17,TDCC
2026-05-29,1102,10,565,79404834,2.23,TDCC
2026-05-29,1102,11,283,80463579,2.26,TDCC
2026-05-29,1102,12,90,44376339,1.25,TDCC
2026-05-29,1102,13,48,32503950,0.91,TDCC
2026-05-29,1102,14,27,23952309,0.67,TDCC
2026-05-29,1102,15,232,2779266351,78.36,TDCC
2026-05-29,1102,16,0,0,0.0,TDCC
2026-05-29,1102,17,104459,3546562881,100.0,TDCC
2026-05-29,1102,2,53882,119762745,3.37,TDCC
2026-05-29,1102,3,11341,88424451,2.49,TDCC
2026-05-29,1102,4,3737,47157361,1.32,TDCC
2026-05-29,1102,5,2252,41290365,1.16,TDCC
2026-05-29,1102,6,2097,53446082,1.5,TDCC
2026-05-29,1102,7,986,35334133,0.99,TDCC
2026-05-29,1102,8,699,32455899,0.91,TDCC
2026-05-29,1102,9,1146,82578248,2.32,TDCC
2026-05-29,1103,1,54516,3164636,0.4,TDCC
2026-05-29,1103,10,165,23236618,2.94,TDCC
2026-05-29,1103,11,81,22261091,2.81,TDCC
2026-05-29,1103,12,25,12390561,1.56,TDCC
2026-05-29,1103,13,15,9990468,1.26,TDCC
2026-05-29,1103,14,7,6165404,0.78,TDCC
2026-05-29,1103,15,84,596492649,75.48,TDCC
2026-05-29,1103,16,0,0,0.0,TDCC
2026-05-29,1103,17,74478,790247459,100.0,TDCC
2026-05-29,1103,2,13850,27616290,3.49,TDCC
2026-05-29,1103,3,2810,18766494,2.37,TDCC
2026-05-29,1103,4,1280,14688396,1.85,TDCC
2026-05-29,1103,5,432,7408379,0.93,TDCC
2026-05-29,1103,6,530,12526456,1.58,TDCC
2026-05-29,1103,7,243,8314494,1.05,TDCC
2026-05-29,1103,8,126,5652043,0.71,TDCC
2026-05-29,1103,9,314,21573480,2.72,TDCC
2026-05-29,1104,1,34704,3231296,0.47,TDCC
2026-05-29,1104,10,170,23210516,3.38,TDCC
2026-05-29,1104,11,85,22605669,3.29,TDCC
2026-05-29,1104,12,48,24789474,3.61,TDCC
2026-05-29,1104,13,13,9271013,1.35,TDCC
2026-05-29,1104,14,7,6060550,0.88,TDCC
