date,symbol,foreign_net,investment_trust_net,dealer_net,total_institutional_net,source
2026-01-02,3339,61000,0,-4,60996,TPEX
2026-01-02,3349,-28000,0,0,-28000,TPEX
2026-01-02,3354,-25000,0,-40000,-65000,TPEX
2026-01-02,3357,712000,0,132796,844796,TPEX
2026-01-02,3360,65000,0,10669,75669,TPEX
2026-01-02,3362,16000,0,-670,15330,TPEX
2026-01-02,3363,-554000,0,-31181,-585181,TPEX
2026-01-02,3372,367200,0,573,367773,TPEX
2026-01-02,3373,-3000,0,-183,-3183,TPEX
2026-01-02,3374,833992,0,230525,1064517,TPEX
2026-01-02,3379,45000,0,0,45000,TPEX
2026-01-02,3388,4000,0,0,4000,TPEX
2026-01-02,3390,34000,0,-55000,-21000,TPEX
2026-01-02,3402,-1291900,0,89721,-1202179,TPEX
2026-01-02,3430,236000,0,1346,237346,TPEX
2026-01-02,3434,6000,0,0,6000,TPEX
2026-01-02,3438,-32000,0,0,-32000,TPEX
2026-01-02,3441,47000,0,0,47000,TPEX
2026-01-02,3444,-6000,0,103000,97000,TPEX
2026-01-02,3455,84000,20938,-7878,97060,TPEX
2026-01-02,3465,-1000,0,0,-1000,TPEX
2026-01-02,3466,-56000,0,-15,-56015,TPEX
2026-01-02,3467,0,0,-55,-55,TPEX
2026-01-02,3479,26000,0,-22898,3102,TPEX
2026-01-02,3483,-154500,3411,-500,-151589,TPEX
2026-01-02,3484,54000,0,0,54000,TPEX
2026-01-02,3489,-6000,0,0,-6000,TPEX
2026-01-02,3490,329000,0,-6000,323000,TPEX
2026-01-02,3491,15231,7000,28093,50324,TPEX
2026-01-02,3492,23000,0,0,23000,TPEX
2026-01-02,3498,76000,0,0,76000,TPEX
2026-01-02,3499,-48000,0,479,-47521,TPEX
2026-01-02,3508,-12000,0,-139,-12139,TPEX
2026-01-02,3511,43000,0,-59,42941,TPEX
2026-01-02,3512,2000,0,0,2000,TPEX
2026-01-02,3516,-2000,0,0,-2000,TPEX
2026-01-02,3520,79000,0,0,79000,TPEX
2026-01-02,3521,27000,0,-168,26832,TPEX
2026-01-02,3522,-18000,0,0,-18000,TPEX
2026-01-02,3523,1000,0,0,1000,TPEX
2026-01-02,3526,-45995,0,-843,-46838,TPEX
2026-01-02,3527,11000,0,0,11000,TPEX
2026-01-02,3529,109978,-107000,7618,10596,TPEX
2026-01-02,3537,675000,0,1210,676210,TPEX
2026-01-02,3540,58000,0,2000,60000,TPEX
2026-01-02,3541,0,0,314,314,TPEX
2026-01-02,3546,26000,0,6086,32086,TPEX
2026-01-02,3548,93000,0,2372,95372,TPEX
2026-01-02,3551,-522500,60000,103214,-359286,TPEX
2026-01-02,3552,-25000,0,0,-25000,TPEX
2026-01-02,3555,49000,0,0,49000,TPEX
